"FullPath","ParentFolder","Name","Type","Extension","Length","CreationTime","LastWriteTime"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\__init__.py","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser","__init__.py","File",".py","6164","16-Jan-25 13:09:41","16-Feb-25 19:26:56"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\__pycache__",,"__pycache__","Directory","",,"16-Jan-25 17:02:34","17-Feb-25 15:56:03"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\__pycache__\__init__.cpython-313.pyc","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\__pycache__","__init__.cpython-313.pyc","File",".pyc","7322","17-Feb-25 15:56:03","17-Feb-25 15:56:03"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\Architecture and Approach for GEDCOM 5.5.5 Data Processing.pdf","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser","Architecture and Approach for GEDCOM 5.5.5 Data Processing.pdf","File",".pdf","170258","24-Jun-25 17:08:57","24-Jun-25 17:08:58"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\config",,"config","Directory","",,"16-Jan-25 13:11:39","25-Jun-25 13:30:34"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\config\__init__.py","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\config","__init__.py","File",".py","623","16-Jan-25 13:11:39","25-Jun-25 13:30:34"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\config\__pycache__",,"__pycache__","Directory","",,"16-Jan-25 17:02:34","25-Feb-25 14:12:20"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\config\__pycache__\__init__.cpython-313.pyc","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\config\__pycache__","__init__.cpython-313.pyc","File",".pyc","716","25-Feb-25 14:12:20","25-Feb-25 14:12:20"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\config\__pycache__\config.cpython-313.pyc","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\config\__pycache__","config.cpython-313.pyc","File",".pyc","7229","25-Feb-25 14:11:14","25-Feb-25 14:11:14"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\config\config.py","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\config","config.py","File",".py","4407","14-Feb-25 15:17:22","25-Jun-25 13:30:34"
