tag,category,description,payload,required,multiple,allowed_parents,allowed_children,notes,context,level0_possible
ABBR,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['SOUR'],True
ADDR,Location,Address information.,text,False,False,"['REPO', 'SUBM']",[],[],"['FAM.ANUL', 'FAM.CENS', 'FAM.DIV', 'FAM.EVEN', 'FAM.MARR', 'FAM.RESI', 'FAM.SLGS', 'HEAD.SOUR.CORP', 'INDI.ADOP', 'INDI.BAPL', 'INDI.BAPM', 'INDI.BARM', 'INDI.BASM', 'INDI.BIRT', 'INDI.BLES', 'INDI.BURI', 'INDI.CENS', 'INDI.CHRA', 'INDI.CONF', 'INDI.CONL', 'INDI.CREM', 'INDI.DEAT', 'INDI.EMIG', 'INDI.ENDL', 'INDI.EVEN', 'INDI.FCOM', 'INDI.GRAD', 'INDI.IMMI', 'INDI.NATU', 'INDI.ORDN', 'INDI.PROB', 'INDI.RESI', 'INDI.RETI', 'INDI.SLGC', 'INDI.SLGS', 'INDI.WILL', 'REPO', 'SUBM']",False
ADOP,,,,,,['INDI'],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],False
ADR1,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['ADDR'],True
ADR2,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['ADDR'],True
ADR3,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['ADDR'],True
AFN,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],[],True
AGE,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],"['FAM.ANUL', 'FAM.CENS', 'FAM.DIV', 'FAM.EVEN', 'FAM.MARR', 'FAM.RESI', 'FAM.SLGS', 'INDI.ADOP', 'INDI.BAPL', 'INDI.BAPM', 'INDI.BARM', 'INDI.BASM', 'INDI.BIRT', 'INDI.BLES', 'INDI.BURI', 'INDI.CENS', 'INDI.CHRA', 'INDI.CONF', 'INDI.CONL', 'INDI.CREM', 'INDI.DEAT', 'INDI.EMIG', 'INDI.ENDL', 'INDI.EVEN', 'INDI.FCOM', 'INDI.GRAD', 'INDI.IMMI', 'INDI.NATU', 'INDI.ORDN', 'INDI.PROB', 'INDI.RESI', 'INDI.RETI', 'INDI.SLGC', 'INDI.SLGS', 'INDI.WILL']",True
AGNC,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],"['FAM.ANUL', 'FAM.CENS', 'FAM.DIV', 'FAM.EVEN', 'FAM.MARR', 'FAM.RESI', 'FAM.SLGS', 'INDI.ADOP', 'INDI.BAPL', 'INDI.BAPM', 'INDI.BARM', 'INDI.BASM', 'INDI.BIRT', 'INDI.BLES', 'INDI.BURI', 'INDI.CENS', 'INDI.CHRA', 'INDI.CONF', 'INDI.CONL', 'INDI.CREM', 'INDI.DEAT', 'INDI.EMIG', 'INDI.ENDL', 'INDI.EVEN', 'INDI.FCOM', 'INDI.GRAD', 'INDI.IMMI', 'INDI.NATU', 'INDI.ORDN', 'INDI.PROB', 'INDI.RESI', 'INDI.RETI', 'INDI.SLGC', 'INDI.SLGS', 'INDI.WILL', 'SOUR.DATA']",True
ALIA,,,,,,['INDI'],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],False
