tag,category,description,payload,required,multiple,allowed_parents,allowed_children,notes,context,level0_possible
ABBR,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['SOUR'],True
ADOP,,,,,,['INDI'],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],False
ADR1,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['ADDR'],True
ADR2,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['ADDR'],True
ADR3,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['ADDR'],True
AFN,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],[],True
AGE,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],"['FAM.ANUL', 'FAM.CENS', 'FAM.DIV', 'FAM.EVEN', 'FAM.MARR', 'FAM.RESI', 'FAM.SLGS', 'INDI.ADOP', 'INDI.BAPL', 'INDI.BAPM', 'INDI.BARM', 'INDI.BASM', 'INDI.BIRT', 'INDI.BLES', 'INDI.BURI', 'INDI.CENS', 'INDI.CHRA', 'INDI.CONF', 'INDI.CONL', 'INDI.CREM', 'INDI.DEAT', 'INDI.EMIG', 'INDI.ENDL', 'INDI.EVEN', 'INDI.FCOM', 'INDI.GRAD', 'INDI.IMMI', 'INDI.NATU', 'INDI.ORDN', 'INDI.PROB', 'INDI.RESI', 'INDI.RETI', 'INDI.SLGC', 'INDI.SLGS', 'INDI.WILL']",True
AGNC,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],"['FAM.ANUL', 'FAM.CENS', 'FAM.DIV', 'FAM.EVEN', 'FAM.MARR', 'FAM.RESI', 'FAM.SLGS', 'INDI.ADOP', 'INDI.BAPL', 'INDI.BAPM', 'INDI.BARM', 'INDI.BASM', 'INDI.BIRT', 'INDI.BLES', 'INDI.BURI', 'INDI.CENS', 'INDI.CHRA', 'INDI.CONF', 'INDI.CONL', 'INDI.CREM', 'INDI.DEAT', 'INDI.EMIG', 'INDI.ENDL', 'INDI.EVEN', 'INDI.FCOM', 'INDI.GRAD', 'INDI.IMMI', 'INDI.NATU', 'INDI.ORDN', 'INDI.PROB', 'INDI.RESI', 'INDI.RETI', 'INDI.SLGC', 'INDI.SLGS', 'INDI.WILL', 'SOUR.DATA']",True
ALIA,,,,,,['INDI'],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],False
ANCI,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],True
ANUL,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['FAM'],True
ASSO,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],True
BAPL,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],[],True
BAPM,,,,,,['INDI'],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],False
BARM,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],True
BASM,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],True
BLES,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],True
BLOB,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['OBJE'],True
CALN,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['SOUR.REPO'],True
CAST,,,,,,['INDI'],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],False
CENS,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],"['FAM', 'INDI']",True
CHRA,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],True
CITY,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['ADDR'],True
CONF,,,,,,['INDI'],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],False
CONL,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],[],True
COPR,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['HEAD'],True
CORP,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['HEAD.SOUR'],True
CTRY,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['ADDR'],True
DATA,,,,,,['SOUR'],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],"['HEAD.SOUR', 'SOUR', 'SOURCIT']",False
DESC,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['SUBN'],True
DESI,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],True
DEST,,,,,,['HEAD'],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['HEAD'],False
DIVF,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],[],True
DSCR,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],True
EDUC,,,,,,['INDI'],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],False
EMAIL,,,,,,"['REPO', 'SUBM']",[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],"['HEAD.SOUR.CORP', 'REPO', 'SUBM']",False
EMIG,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],True
ENDL,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],[],True
ENGA,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],[],True
EVEN,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],"['FAM', 'INDI', 'SOUR.DATA', 'SOURCIT']",True
